Front,Back,Tags
Covenant of quiet enjoyment broken if ___ interferes with possession,Third party (not landlord),[Conveyancing]
Marketable title requires ___ defects,No title (within statutory period),[Conveyancing]
Warranty deed provides ___ covenants,6 (seisin, quiet enjoyment, etc.),[Conveyancing]
Quitclaim deed provides ___ warranties,No (only what grantor has),[Conveyancing]
Covenant of warranty protects against ___ defects,All title (not just grantor's),[Conveyancing]
Contracts Formation elements?,Offer + Acceptance + Consideration + Mutual intent (FOCI),[Contracts,Formation]
Mailbox rule default?,Acceptance effective on dispatch (unless option contract or improperly addressed),[Contracts,Formation]
UCC firm offer requirements?,"Merchant, signed writing, assurances, irrevocable ≤ 3 months, no consideration needed",[Contracts,Formation]
Battle of forms additional terms between merchants?,"Included unless material, offer limited, or prompt objection",[Contracts,Terms]
Parol evidence exceptions?,"Ambiguity, fraud, mistake, subsequent mods, collateral agreements, condition precedent",[Contracts,Terms]
Common law breach threshold?,Material breach allows withholding; minor breach → damages only,[Contracts,Performance]
Perfect tender rule applies?,Single delivery contracts – buyer may reject any nonconformity,[Contracts,Performance]
Installment contract rejection standard?,Substantial impairment of installment (or whole contract if inseparable),[Contracts,Performance]
Anticipatory repudiation options?,"Treat as breach, suspend, demand assurance, await performance",[Contracts,Performance]
Adequate assurance timeline?,Written demand; if not provided within 30 days → repudiation,[Contracts,Performance]
Expectation damages formula?,Loss in value + incidental + consequential − costs saved,[Contracts,Remedies]
Buyer cover damages?,(Cover price − K price) + incidental + foreseeable consequential − expenses saved,[Contracts,Remedies]
Lost volume seller recovery?,"Lost profit + incidental (can perform both sales, profitable)",[Contracts,Remedies]
Liquidated damages test?,(1) Difficult to estimate at formation; (2) reasonable forecast,[Contracts,Remedies]
Statute of Frauds categories?,"Marriage, Year+, Land, Executor, Goods ≥ $500, Surety (MY LEGS)",[Contracts,Defenses]
Mutual mistake elements?,"Basic assumption, material effect, no risk assumed",[Contracts,Defenses]
Impossibility vs frustration?,Impossibility excuses performance; frustration excuses purpose,[Contracts,Defenses]
Accord vs novation?,Accord = new performance promised; Novation = new party replaces,[Contracts,Defenses]
Third-party beneficiary vesting?,"Assent, reliance, or lawsuit",[Contracts,ThirdParty]
Assignment priority (majority)?,Last bona fide assignee for value without notice wins,[Contracts,ThirdParty]
Delegation liability?,Delegator remains liable; delegatee liable if assumption,[Contracts,ThirdParty]
Risk of loss merchant vs non-merchant?,Merchant – RoL on buyer receipt; non-merchant – on tender,[Contracts,Risk]
Breach effect on risk of loss?,Breaching party bears risk until cure or acceptance,[Contracts,Risk]
Revocation of acceptance requirements?,Substantial impairment + difficulty discovering or reliance on cure + timely notice,[Contracts,UCC]
UCC impracticability defense?,"Unforeseen contingency, basic assumption, not assumed risk, performance impracticable",[Contracts,Defenses]
Warranties types?,"Express, implied merchantability, implied fitness",[Contracts,Warranties]
Disclaimer of merchantability?,Must mention merchantability and be conspicuous if written,[Contracts,Warranties]
Limitation of remedy fails?,If fails essential purpose → buyer gets full UCC remedies,[Contracts,Warranties]
Entrustment rule?,Merchant who deals in goods can transfer all rights to buyer in ordinary course,[Contracts,Risk]
Contracts Formation elements?,Offer + Acceptance + Consideration + Mutual intent (FOCI),[Contracts;Formation]
Mailbox rule default?,"Acceptance effective on dispatch unless exception (option contract, improperly addressed, offer states otherwise)",[Contracts;MailboxRule]
UCC firm offer requirements?,"Merchant, signed writing, assurances; irrevocable ≤3 months without consideration",[Contracts;Formation;UCC]
Battle of forms additional terms between merchants?,"Included unless offer limits, term materially alters, or prompt objection",[Contracts;Terms;UCC]
Parol evidence exceptions?,"Ambiguity, fraud/mistake, subsequent modifications, collateral agreement, condition precedent",[Contracts;Terms]
Substantial performance rule?,Common law: minor defects → damages only; material breach allows withholding,[Contracts;Performance]
Perfect tender rule?,UCC single delivery — buyer may reject for any nonconformity,[Contracts;Performance;UCC]
Installment contract rejection standard?,Substantial impairment of installment (or whole contract if inseparable),[Contracts;Performance;UCC]
Anticipatory repudiation options?,"Treat as breach, suspend, demand adequate assurance, or await performance",[Contracts;Performance]
Adequate assurance timeline?,Demand in writing; failure to provide within 30 days = repudiation,[Contracts;Performance;UCC]
Expectation damages formula?,Loss in value + incidental + consequential − costs saved,[Contracts;Remedies]
Buyer cover measure?,(Cover price − K price) + incidental + foreseeable consequential − expenses saved,[Contracts;Remedies;UCC]
Lost-volume seller recovery?,"Profit plus incidental damages (capacity, profitability, would have made sale)",[Contracts;Remedies;UCC]
Liquidated damages test?,Damages hard to estimate at formation and amount is reasonable forecast,[Contracts;Remedies]
Statute of Frauds categories?,"Marriage, Year+, Land, Executor, Goods ≥ $500, Surety (MYLEGS)",[Contracts;Defenses]
Mutual mistake elements?,"Basic assumption, material effect, no risk allocated to party seeking relief",[Contracts;Defenses]
Impracticability elements?,"Unforeseen event, basic assumption, performance impracticable, no fault, risk not assumed",[Contracts;Excuse]
Accord vs novation?,"Accord substitutes new performance; novation substitutes new obligor with consent, releasing original",[Contracts;ThirdParty]
Third-party beneficiary vesting?,"Upon assent, reliance, or bringing suit",[Contracts;ThirdParty]
Assignment priority (majority)?,Last bona fide assignee for value without notice prevails,[Contracts;ThirdParty]
Delegation liability?,Delegator remains liable; delegatee liable if assumption of duties,[Contracts;ThirdParty]
Risk of loss: merchant vs non-merchant?,Merchant: passes on receipt; non-merchant: on tender,[Contracts;Risk]
Breach effect on risk of loss?,Breaching party bears risk until cure or acceptance,[Contracts;Risk;UCC]
Revocation of acceptance requirements?,Substantial impairment + latent or reliance + timely notice before substantial change,[Contracts;Performance;UCC]
Implied warranty of merchantability?,Merchant seller warrants goods fit for ordinary purpose,[Contracts;Warranties;UCC]
Disclaimer of merchantability?,Must mention merchantability and be conspicuous if written,[Contracts;Warranties;UCC]
Limitation of remedy fails when?,Fails essential purpose → buyer gets normal UCC remedies,[Contracts;Warranties;UCC]
Entrustment rule?,Merchant entrusted with goods can transfer all rights to buyer in ordinary course,[Contracts;Risk;UCC]
